policy,horizon_ms,n_fills,contracts,total_net_c,avg_net_per_ctr,yes_total_c,yes_avg_per_ctr,no_total_c,no_avg_per_ctr
P0_depth15_cap25,1000,135,1243,1867.90,1.5031,296.72,0.4183,1571.18,2.9454
P0_depth15_cap25,5000,134,1240,725.53,0.5852,-20.76,-0.0294,746.29,1.3990
P0_depth15_cap25,30000,121,1057,735.17,0.6957,-119.61,-0.2075,854.78,1.7792
P0_depth15_cap25,120000,102,848,306.38,0.3613,-331.94,-0.7955,638.32,1.4822
P1_depth3_cap100,1000,244,2632,5178.91,1.9674,498.08,0.3422,4680.83,3.9769
P1_depth3_cap100,5000,243,2629,1927.48,0.7330,-760.50,-0.5236,2687.99,2.2838
P1_depth3_cap100,30000,227,2416,2216.69,0.9176,-1210.20,-0.9288,3426.89,3.0793
P1_depth3_cap100,120000,201,2070,1000.61,0.4834,-228.72,-0.2112,1229.34,1.2454
P2_asym_yes15_no100,1000,135,1272,3702.20,2.9094,283.51,0.4781,3418.68,5.0317
P2_asym_yes15_no100,5000,134,1269,2498.33,1.9680,211.04,0.3577,2287.29,3.3665
P2_asym_yes15_no100,30000,121,1094,2677.90,2.4467,167.11,0.3496,2510.78,4.0731
P2_asym_yes15_no100,120000,102,899,1417.48,1.5772,-98.85,-0.2832,1516.32,2.7587
P3_tox_skew_30s,1000,172,1895,6140.34,3.2403,1316.38,1.5711,4823.95,4.5632
P3_tox_skew_30s,5000,171,1892,3640.62,1.9242,617.74,0.7399,3022.88,2.8595
P3_tox_skew_30s,30000,161,1749,4459.08,2.5489,360.26,0.4763,4098.82,4.1276
P3_tox_skew_30s,120000,144,1565,2282.25,1.4586,294.74,0.4232,1987.50,2.2891
P3_tox_skew_5s,1000,177,2034,6009.08,2.9546,1076.38,1.0596,4932.69,4.8459
P3_tox_skew_5s,5000,176,2031,3874.44,1.9079,614.74,0.6069,3259.70,3.2023
P3_tox_skew_5s,30000,160,1817,4295.31,2.3637,74.76,0.0866,4220.55,4.4250
P3_tox_skew_5s,120000,141,1539,2246.73,1.4595,115.84,0.1631,2130.89,2.5704
P4_depth_proportional,1000,244,1360,1727.58,1.2705,343.67,0.4519,1383.91,2.3096
P4_depth_proportional,5000,243,1357,800.48,0.5900,131.17,0.1732,669.31,1.1170
P4_depth_proportional,30000,227,1200,559.67,0.4663,-114.26,-0.1794,673.93,1.1969
P4_depth_proportional,120000,201,1001,578.86,0.5784,78.70,0.1641,500.16,0.9595
P5_asym_edge,1000,60,594,2247.36,3.7860,615.75,2.6127,1631.61,4.5585
P5_asym_edge,5000,60,594,1317.49,2.2195,293.50,1.2454,1023.99,2.8609
P5_asym_edge,30000,56,524,1312.17,2.5061,257.26,1.2212,1054.91,3.3711
P5_asym_edge,120000,51,470,286.35,0.6095,-450.04,-2.1882,736.39,2.7877
P6_P3+P4_30s,1000,172,945,2129.02,2.2534,753.25,1.7746,1375.77,2.6439
P6_P3+P4_30s,5000,171,942,1476.68,1.5679,642.25,1.5239,834.43,1.6036
P6_P3+P4_30s,30000,161,856,1551.83,1.8124,671.21,1.8043,880.61,1.8186
P6_P3+P4_30s,120000,144,762,789.55,1.0362,126.31,0.3966,663.24,1.4956
P7_P6+kelly_30s,1000,124,297,1000.83,3.3656,418.03,3.2932,582.80,3.4195
P7_P6+kelly_30s,5000,123,294,813.97,2.7652,373.73,3.0156,440.24,2.5831
P7_P6+kelly_30s,30000,119,280,898.81,3.2142,428.92,3.4609,469.89,3.0179
P7_P6+kelly_30s,120000,109,255,785.38,3.0809,452.46,4.1440,332.92,2.2845
